State Exports by NAICS Commodities,,,,
Current date: 03/15/2026 5:00 PM (Eastern Daylight Time),,,,
Measures: Total Exports Value ($US),,,,
State,Commodity,Country,Time,Total Exports Value ($US)
All States,All Commodities,Canada,2022,"359,084,152,609"
All States,All Commodities,Canada,2023,"354,407,979,759"
All States,All Commodities,Canada,2024,"349,908,153,123"
All States,All Commodities,Canada,2025,"329,801,098,914"
All States,All Commodities,Canada,2026 through January,"24,510,292,823"
All States,All Commodities,Cayman Islands,2020,"752,412,170"
All States,All Commodities,Cayman Islands,2021,"1,175,209,502"
All States,All Commodities,Cayman Islands,2022,"1,497,935,508"
All States,All Commodities,Cayman Islands,2023,"1,339,872,037"
All States,All Commodities,Cayman Islands,2024,"1,282,761,512"
All States,All Commodities,Cayman Islands,2025,"1,366,026,552"
All States,All Commodities,Cayman Islands,2026 through January,"93,828,514"
All States,All Commodities,Central African Republic,2020,"15,816,339"
All States,All Commodities,Central African Republic,2021,"17,370,704"
All States,All Commodities,Central African Republic,2022,"22,631,668"
All States,All Commodities,Central African Republic,2023,"16,902,254"
All States,All Commodities,Central African Republic,2024,"24,019,031"
All States,All Commodities,Central African Republic,2025,"9,331,684"
All States,All Commodities,Central African Republic,2026 through January,"378,480"
All States,All Commodities,Chad,2020,"46,110,940"
All States,All Commodities,Chad,2021,"42,751,233"
All States,All Commodities,Chad,2022,"88,317,888"
All States,All Commodities,Chad,2023,"31,322,721"
All States,All Commodities,Chad,2024,"55,670,391"
All States,All Commodities,Chad,2025,"73,368,260"
All States,All Commodities,Chad,2026 through January,"4,000,839"
All States,All Commodities,Chile,2020,"12,461,947,814"
All States,All Commodities,Chile,2021,"17,319,495,047"
All States,All Commodities,Chile,2022,"23,263,552,548"
All States,All Commodities,Chile,2023,"19,068,278,946"
All States,All Commodities,Chile,2024,"18,231,829,500"
All States,All Commodities,Chile,2025,"19,120,826,980"
All States,All Commodities,Chile,2026 through January,"1,527,626,930"
All States,All Commodities,China,2020,"124,581,510,375"
All States,All Commodities,China,2021,"151,439,394,988"
All States,All Commodities,China,2022,"153,987,373,591"
All States,All Commodities,China,2023,"147,635,464,218"
All States,All Commodities,China,2024,"143,226,749,368"
All States,All Commodities,China,2025,"106,308,397,841"
All States,All Commodities,China,2026 through January,"8,329,116,905"
All States,All Commodities,Christmas Island,2020,"1,978,191"
All States,All Commodities,Christmas Island,2021,"727,898"
All States,All Commodities,Christmas Island,2022,"1,442,892"
All States,All Commodities,Christmas Island,2023,"49,009,332"
All States,All Commodities,Christmas Island,2024,"2,017,550"
All States,All Commodities,Christmas Island,2025,"631,953"
All States,All Commodities,Christmas Island,2026 through January,"67,486"
All States,All Commodities,Cocos (Keeling) Islands,2020,"120,398"
All States,All Commodities,Cocos (Keeling) Islands,2021,"481,401"
All States,All Commodities,Cocos (Keeling) Islands,2022,"2,031,159"
All States,All Commodities,Cocos (Keeling) Islands,2023,"384,737"
All States,All Commodities,Cocos (Keeling) Islands,2024,"564,378"
All States,All Commodities,Cocos (Keeling) Islands,2025,"53,641"
All States,All Commodities,Colombia,2020,"11,932,356,829"
All States,All Commodities,Colombia,2021,"16,765,676,214"
All States,All Commodities,Colombia,2022,"21,134,107,473"
All States,All Commodities,Colombia,2023,"17,595,185,999"
All States,All Commodities,Colombia,2024,"18,695,383,088"
All States,All Commodities,Colombia,2025,"19,394,474,777"
All States,All Commodities,Colombia,2026 through January,"1,562,951,140"
All States,All Commodities,Comoros,2020,"1,410,572"
All States,All Commodities,Comoros,2021,"1,804,259"
All States,All Commodities,Comoros,2022,"2,238,921"
All States,All Commodities,Comoros,2023,"958,546"
All States,All Commodities,Comoros,2024,"4,699,728"
All States,All Commodities,Comoros,2025,"2,260,832"
All States,All Commodities,Comoros,2026 through January,"255,682"
All States,All Commodities,Congo,2020,"99,093,298"
All States,All Commodities,Congo,2021,"113,627,120"
All States,All Commodities,Congo,2022,"179,608,662"
All States,All Commodities,Congo,2023,"200,313,650"
All States,All Commodities,Congo,2024,"234,512,421"
All States,All Commodities,Congo,2025,"169,966,789"
All States,All Commodities,Congo,2026 through January,"13,548,266"
All States,All Commodities,Cook Islands,2020,"3,252,366"
All States,All Commodities,Cook Islands,2021,"4,190,352"
All States,All Commodities,Cook Islands,2022,"6,289,079"
All States,All Commodities,Cook Islands,2023,"5,364,004"
All States,All Commodities,Cook Islands,2024,"6,861,175"
All States,All Commodities,Cook Islands,2025,"7,285,642"
All States,All Commodities,Cook Islands,2026 through January,"247,463"
All States,All Commodities,Costa Rica,2020,"5,670,693,356"
All States,All Commodities,Costa Rica,2021,"7,353,633,928"
All States,All Commodities,Costa Rica,2022,"9,219,513,399"
All States,All Commodities,Costa Rica,2023,"9,031,902,617"
All States,All Commodities,Costa Rica,2024,"9,631,350,262"
All States,All Commodities,Costa Rica,2025,"10,232,847,862"
All States,All Commodities,Costa Rica,2026 through January,"853,574,728"
All States,All Commodities,Cote d'Ivoire,2020,"218,757,127"
All States,All Commodities,Cote d'Ivoire,2021,"360,967,265"
All States,All Commodities,Cote d'Ivoire,2022,"507,016,787"
All States,All Commodities,Cote d'Ivoire,2023,"508,982,170"
All States,All Commodities,Cote d'Ivoire,2024,"591,184,079"
All States,All Commodities,Cote d'Ivoire,2025,"644,417,580"
All States,All Commodities,Cote d'Ivoire,2026 through January,"51,395,798"
All States,All Commodities,Croatia,2020,"316,260,750"
All States,All Commodities,Croatia,2021,"730,703,966"
All States,All Commodities,Croatia,2022,"1,465,546,346"
All States,All Commodities,Croatia,2023,"1,000,959,098"
All States,All Commodities,Croatia,2024,"997,135,290"
All States,All Commodities,Croatia,2025,"816,771,243"
All States,All Commodities,Croatia,2026 through January,"85,047,786"
All States,All Commodities,Cuba,2020,"176,676,976"
All States,All Commodities,Cuba,2021,"326,992,212"
All States,All Commodities,Cuba,2022,"371,744,851"
All States,All Commodities,Cuba,2023,"404,017,600"
All States,All Commodities,Cuba,2024,"585,169,304"
All States,All Commodities,Cuba,2025,"810,776,711"
All States,All Commodities,Cuba,2026 through January,"64,925,494"
All States,All Commodities,Curacao,2020,"349,939,696"
All States,All Commodities,Curacao,2021,"342,400,572"
All States,All Commodities,Curacao,2022,"525,375,192"
All States,All Commodities,Curacao,2023,"513,164,174"
All States,All Commodities,Curacao,2024,"935,757,226"
All States,All Commodities,Curacao,2025,"1,087,596,654"
All States,All Commodities,Curacao,2026 through January,"185,868,880"
All States,All Commodities,Cyprus,2020,"102,969,860"
All States,All Commodities,Cyprus,2021,"249,983,298"
All States,All Commodities,Cyprus,2022,"120,314,015"
All States,All Commodities,Cyprus,2023,"188,296,613"
All States,All Commodities,Cyprus,2024,"184,803,495"
All States,All Commodities,Cyprus,2025,"203,503,289"
All States,All Commodities,Cyprus,2026 through January,"22,807,632"
All States,All Commodities,Czech Republic,2020,"2,972,749,747"
All States,All Commodities,Czech Republic,2021,"3,661,459,253"
All States,All Commodities,Czech Republic,2022,"3,775,383,520"
All States,All Commodities,Czech Republic,2023,"4,599,237,260"
All States,All Commodities,Czech Republic,2024,"4,279,402,699"
All States,All Commodities,Czech Republic,2025,"4,446,522,879"
All States,All Commodities,Czech Republic,2026 through January,"550,040,367"
All States,All Commodities,Democratic Republic of Congo,2020,"151,968,707"
All States,All Commodities,Democratic Republic of Congo,2021,"211,803,635"
All States,All Commodities,Democratic Republic of Congo,2022,"148,325,751"
All States,All Commodities,Democratic Republic of Congo,2023,"186,604,035"
All States,All Commodities,Democratic Republic of Congo,2024,"227,507,572"
